"Astoria-Long Island City","-0.0945"
"Auburndale","-0.3348"
"Battery Park","-0.0175"
"Bay Ridge","-0.2039"
"Baychester","-0.5250"
"Bedford Park","-0.4224"
"Bedford-Stuyvesant","0.4790"
"Bensonhurst","-0.4010"
"Boerum Hill","-0.0357"
"Borough Park","-0.3575"
"Brownsville","-0.2177"
"Bushwick","0.8773"
"Canarsie","-0.3611"
"Carnegie Hill","-0.0214"
"Carroll Gardens","0.0011"
"Central Park","-0.0173"
"Chelsea","-0.0010"
"Chinatown","-0.0619"
"City Island","-0.2353"
"Clearview","-0.5026"
"Clinton","-0.0254"
"Cobble Hill","0.1601"
"Corona","-0.2676"
"Country Club","-0.3534"
"Douglastown-Little Neck","-0.1516"
"Downtown","-0.0599"
"Dyker Heights","-0.2879"
"East Brooklyn","-0.2873"
"East Harlem","-0.0464"
"East Village","-0.0155"
"Eastchester","1.0000"
"Financial District","0.0406"
"Flatbush","-0.5318"
"Flushing","-0.0993"
"Fordham","-0.2857"
"Forest Hills","-0.3218"
"Fort Green","0.1892"
"Garment District","-0.0244"
"Glendale","-0.4676"
"Gramercy","-0.0310"
"Gravesend-Sheepshead Bay","-0.6072"
"Greenwich Village","-0.0105"
"Greenwood","0.0657"
"Hamilton Heights","-0.0756"
"Harlem","0.0060"
"High Bridge","-0.3008"
"Hunts Point","-0.6171"
"Inwood","-0.0066"
"Jackson Heights","-0.1149"
"Jamaica","-0.1279"
"Kings Bridge","-0.1088"
"Laurelton","-0.5487"
"Little Italy","0.0424"
"Lower East Side","0.0195"
"Mapleton-Flatlands","-0.3235"
"Maspeth","-0.3069"
"Middle Village","-0.2983"
"Midtown","-0.0316"
"Morningside Heights","-0.1549"
"Morris Heights","-0.8140"
"Morris Park","-0.4498"
"Mott Haven","-0.2507"
"Murray Hill","-0.0292"
"Nkew Gardens","-0.2026"
"North Sutton Area","-0.0503"
"Park Slope","0.1300"
"Parkchester","-0.8342"
"Queens Village","-0.0463"
"Queensboro Hill","-0.7154"
"Ridgewood","-0.4002"
"Riverdale","-0.0917"
"Saintalbans","-0.5414"
"Soho","-0.0006"
"Soundview","-0.6424"
"South Bronx","-0.4875"
"Springfield Gardens","-0.7604"
"Spuyten Duyvil","-0.1137"
"Steinway","-0.6613"
"Sunny Side","-0.0628"
"Sunset Park","-0.1249"
"The Rockaways","-0.4188"
"Throggs Neck","-0.4333"
"Tremont","-0.5271"
"Tribeca","0.0062"
"Union Port","-0.4215"
"University Heights","-0.3497"
"UNKNOWN","0.0381"
"Upper East Side","-0.0304"
"Upper West Side","-0.0276"
"Utopia","-0.1248"
"Wakefield-Williamsbridge","-0.3689"
"Washington Heights","-0.0414"
"West Village","-0.0219"
"Williams Bridge","-0.4557"
"Williamsburg","0.2447"
"Woodhaven-Richmond Hill","-0.2327"
"Woodlawn-Nordwood","-0.4021"
"Woodside","-0.2695"
"Yorkville","-0.0257"
