"Astoria-Long Island City","319381"
"Auburndale","466"
"Battery Park","553405"
"Bay Ridge","3727"
"Baychester","160"
"Bedford Park","1515"
"Bedford-Stuyvesant","23147"
"Bensonhurst","1591"
"Boerum Hill","95570"
"Borough Park","10910"
"Brownsville","1286"
"Bushwick","12152"
"Canarsie","1681"
"Carnegie Hill","775836"
"Carroll Gardens","115626"
"Central Park","903871"
"Chelsea","4609194"
"Chinatown","251344"
"City Island","34"
"Clearview","195"
"Clinton","2227914"
"Cobble Hill","36917"
"College Point","2"
"Corona","3337"
"Country Club","283"
"Douglastown-Little Neck","950"
"Downtown","166555"
"Dyker Heights","851"
"East Brooklyn","2005"
"East Harlem","203553"
"East Village","2428065"
"Eastchester","1"
"Financial District","1337405"
"Flatbush","267"
"Flushing","12191"
"Fordham","1064"
"Forest Hills","33608"
"Fort Green","150147"
"Garment District","3686423"
"Glendale","1388"
"Gramercy","5422088"
"Gravesend-Sheepshead Bay","5313"
"Greenwich Village","3175263"
"Greenwood","8154"
"Hamilton Heights","124167"
"Harlem","286396"
"High Bridge","6147"
"Hunts Point","1225"
"Inwood","4236"
"Jackson Heights","51555"
"Jamaica","16818"
"Kings Bridge","1103"
"Laurelton","811"
"Little Italy","596317"
"Lower East Side","1491057"
"Mapleton-Flatlands","8807"
"Maspeth","7963"
"Middle Village","1807"
"Midtown","10901803"
"Morningside Heights","488859"
"Morris Heights","6112"
"Morris Park","996"
"Mott Haven","17813"
"Murray Hill","2247893"
"Nkew Gardens","9046"
"North Sutton Area","748608"
"Park Slope","73966"
"Parkchester","7947"
"pickup_neighborhood","sum(num_trips)"
"Queens Village","432"
"Queensboro Hill","2161"
"Ridgewood","4902"
"Riverdale","731"
"Saintalbans","543"
"Soho","1528446"
"Soundview","2570"
"South Bronx","6743"
"Springfield Gardens","6161"
"Spuyten Duyvil","387"
"Steinway","248"
"Sunny Side","223179"
"Sunset Park","4098"
"The Rockaways","308"
"Throggs Neck","600"
"Tremont","1861"
"Tribeca","1159171"
"Union Port","1440"
"University Heights","1221"
"UNKNOWN","2982000"
"Upper East Side","9020740"
"Upper West Side","5515910"
"Utopia","6121"
"Wakefield-Williamsbridge","469"
"Washington Heights","78973"
"West Village","1842501"
"Williams Bridge","610"
"Williamsburg","282119"
"Woodhaven-Richmond Hill","3047"
"Woodlawn-Nordwood","470"
"Woodside","65310"
"Yorkville","511787"
