"Astoria-Long Island City","88003"
"Auburndale","61"
"Battery Park","8"
"Bay Ridge","267"
"Baychester","298"
"Bedford Park","8238"
"Bedford-Stuyvesant","5622"
"Bensonhurst","57"
"Boerum Hill","7085"
"Borough Park","605"
"Brownsville","247"
"Bushwick","1994"
"Canarsie","161"
"Carnegie Hill","2385"
"Carroll Gardens","5830"
"Central Park","417"
"Chelsea","20"
"Chinatown","1"
"City Island","16"
"Clearview","18"
"Clinton","31"
"Cobble Hill","3948"
"Corona","9"
"Country Club","509"
"Douglastown-Little Neck","152"
"Downtown","13427"
"Dyker Heights","36"
"East Brooklyn","334"
"East Harlem","57270"
"East Village","26"
"Financial District","11"
"Flatbush","5"
"Flushing","12598"
"Fordham","11407"
"Forest Hills","47856"
"Fort Green","19143"
"Garment District","17"
"Glendale","187"
"Gramercy","34"
"Gravesend-Sheepshead Bay","5251"
"Greenwich Village","7"
"Greenwood","686"
"Hamilton Heights","40683"
"Harlem","116447"
"High Bridge","14795"
"Hunts Point","1310"
"Inwood","12241"
"Jackson Heights","47032"
"Jamaica","4500"
"Kings Bridge","4347"
"Laurelton","23"
"Little Italy","2"
"Lower East Side","30"
"Mapleton-Flatlands","631"
"Maspeth","852"
"Middle Village","286"
"Midtown","59"
"Morningside Heights","89246"
"Morris Heights","7289"
"Morris Park","3604"
"Mott Haven","12752"
"Murray Hill","61"
"Nkew Gardens","13860"
"North Sutton Area","6"
"Park Slope","8884"
"Parkchester","10025"
"pickup_neighborhood","sum(num_trips)"
"Queens Village","66"
"Queensboro Hill","229"
"Ridgewood","465"
"Riverdale","458"
"Saintalbans","87"
"Soho","2"
"Soundview","3348"
"South Bronx","16736"
"Springfield Gardens","63"
"Spuyten Duyvil","187"
"Sunny Side","24305"
"Sunset Park","390"
"The Rockaways","19"
"Throggs Neck","516"
"Tremont","9192"
"Tribeca","9"
"Union Port","3256"
"University Heights","7060"
"UNKNOWN","90546"
"Upper East Side","667"
"Upper West Side","1896"
"Utopia","1901"
"Wakefield-Williamsbridge","1265"
"Washington Heights","70083"
"West Village","13"
"Williams Bridge","1697"
"Williamsburg","29158"
"Woodhaven-Richmond Hill","1336"
"Woodlawn-Nordwood","171"
"Woodside","29718"
"Yorkville","65286"
